Position, Player, PosicionPPG, PosicionAPG, PosicionRPG, PosicionWS48, PosicionPER, PuntajeCampeonatos, PuntajeFMVP, PuntajeMVP, PuntajeAllDefense, PuntajeAllNBA, PuntajeAllStar, PuntajeRanking 
154, Paul Pierce, 1, 0, 0, 0, 0, 6, 6, 0, 0, 12, 30, 55
155, Kyle Lowry, 0, 29, 0, 0, 0, 6, 0, 0, 0, 2, 18, 55
156, Grant Hill, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 21, 55
157, Walter Dukes, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 6, 54
158, Larry Foust, 0, 0, 11, 3, 0, 0, 0, 0, 0, 16, 24, 54
159, Julius Keye, 0, 0, 44, 0, 0, 0, 0, 0, 10, 0, 0, 54
160, Bob Davies, 0, 0, 0, 0, 0, 6, 0, 0, 0, 36, 12, 54
161, Bradley Beal, 41, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 52
162, Bruce Bowen, 0, 0, 0, 0, 0, 18, 0, 0, 34, 0, 0, 52
163, Jonas Valančiūnas, 0, 0, 0, 32, 14, 6, 0, 0, 0, 0, 0, 52
164, Ira Harge, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 52
165, Swen Nater, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 51
166, Tom Sanders, 0, 0, 0, 0, 0, 48, 0, 0, 3, 0, 0, 51
167, Jo Jo White, 0, 0, 0, 0, 0, 12, 6, 0, 0, 12, 21, 51
168, Ray Allen, 0, 0, 0, 0, 0, 12, 0, 0, 0, 8, 30, 50
169, James Worthy, 0, 0, 0, 0, 0, 18, 6, 0, 0, 4, 21, 49
170, Marques Johnson, 11, 0, 0, 0, 1, 0, 0, 0, 0, 22, 15, 49
171, LaMarcus Aldridge, 0, 0, 0, 0, 9, 0, 0, 0, 0, 18, 21, 48
172, Joel Embiid, 0, 0, 0, 0, 0, 0, 0, 0, 9, 24, 15, 48
173, John Lucas, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48
174, K.C. Jones, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 48
175, Reggie Miller, 0, 0, 0, 25, 0, 0, 0, 0, 0, 6, 15, 46
176, Klay Thompson, 0, 0, 0, 0, 0, 24, 0, 0, 3, 4, 15, 46
177, Cliff Hagan, 0, 0, 0, 12, 0, 6, 0, 0, 0, 12, 15, 45
